Nombre,Edad,Correo
Juan Pérez,30,juan.perez@email.com
María López,25,maria.lopez@email.com
Carlos García,40,carlos.garcia@email.com
Ana Torres,35,ana.torres@email.com
Pedro Sánchez,28,pedro.sanchez@email.com
Lucía Ramírez,22,lucia.ramirez@email.com
Javier Muñoz,33,javier.munoz@email.com
Elena Díaz,27,elena.diaz@email.com
Roberto Gómez,45,roberto.gomez@email.com
Sofía Herrera,29,sofia.herrera@email.com
Martín Ortega,31,martin.ortega@email.com
Gabriela Castro,26,gabriela.castro@email.com
Fernando Ruiz,38,fernando.ruiz@email.com
Patricia Mendez,24,patricia.mendez@email.com
Ricardo Fernández,37,ricardo.fernandez@email.com
Beatriz Soto,34,beatriz.soto@email.com
Alberto Reyes,39,alberto.reyes@email.com
Daniela Vázquez,32,daniela.vazquez@email.com
Hugo Salazar,21,hugo.salazar@email.com
Paula Núñez,23,paula.nunez@email.com
